,titulo,descricao,paginas,idioma,editora,autor,genero,imgLink,isbn13,isbn10,amazonLink
0,"Artificial Intelligence: A Modern Approach, Global Edition","The long-anticipated revision of Artificial Intelligence: A Modern Approach explores the full breadth and depth of the field of artificial intelligence (AI). The 4th Edition brings readers up to date on the latest technologies, present concepts in a more unified manner, and offers new or expanded coverage of machine learning, deep learning, transfer learning, multi agent systems, robotics, natural language processing, causality, probabilistic programming, privacy, fairness, and safe AI.",1170 páginas,Inglês,Pearson Education Limited; 4ª edição (13 maio 2021),Peter Norvig,Tecnologia,https://m.media-amazon.com/images/I/71cayYpP43L._SY385_.jpg,978-1292401133,1292401133,https://www.amazon.com.br/Artificial-Intelligence-Modern-Approach-Global/dp/1292401133/ref=sr_1_2?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=peter+norvig&sr=8-2&ufe=app_do%3Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6
1,"Programação em Baixo Nível: C, Assembly e Execução de Programas na Arquitetura Intel 64","Conheça a linguagem Assembly e a arquitetura do Intel 64, torne-se proficiente em C e entenda como os programas são compilados e executados até o nível das instruções de máquina, permitindo-lhe escrever um código robusto e de alto desempenho. ""Programação em baixo nível"" explica a arquitetura do Intel 64 como resultado da evolução da arquitetura de von Neumann. O livro o ensina a usar a versão mais recente da linguagem C (C11) e a linguagem Assembly desde o básico. Todo o caminho, do código-fonte à execução do programa, incluindo a geração de arquivos-objeto ELF, além das ligações estática e dinâmica, será discutido. Há exemplos de código e exercícios, junto com as melhores práticas de programação. Os recursos de otimização e os limites dos compiladores modernos serão analisados, permitindo-lhe promover um equilíbrio entre a legibilidade do programa e o desempenho. O uso de diversas técnicas para ganho de desempenho, por exemplo, instruções SSE e pre-fetching, será demonstrado. Assuntos relevantes em ciência da computação, como os modelos de computação e as gramáticas formais, também serão tratados, explicando-se sua importância prática. Programação em baixo nível ensina os programadores a: escrever livremente em linguagem Assembly; compreender o modelo de programação do Intel 64; escrever um código robusto e fácil de manter em C11.",576 páginas,Português,Novatec Editora; 1ª edição (17 abril 2018),Igor Zhirkov,Tecnologia,https://m.media-amazon.com/images/I/61qFQdEyNJL._SY385_.jpg,978-8575226674,8575226673,https://www.amazon.com.br/Programa%C3%A7%C3%A3o-Baixo-N%C3%ADvel-Programas-Arquitetura/dp/8575226673/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-5
2,Introdução à Programação com Python: Algoritmos e Lógica de Programação Para Iniciantes,"Este livro é orientado ao iniciante em programação. Os conceitos básicos de programação, como expressões, variáveis, repetições, decisões, listas, dicionários, conjuntos, funções, arquivos, classes, objetos e banco de dados com SQLite 3 são apresentados um a um com exemplos e exercícios. A obra visa a explorar a programação de computadores como ferramenta do dia a dia. Ela pode ser lida durante um curso de introdução à programação de computadores e usada como guia de estudo para autodidatas. Para aproveitamento pleno do conteúdo, apenas conhecimentos básicos de informática, como digitar textos, abrir e salvar arquivos, são suficientes. Todo software utilizado no livro pode ser baixado gratuitamente, sendo executado em Windows, Linux e Mac OS X.",328 páginas,Português,Novatec Editora; 3ª edição (8 janeiro 2019),Nilo Ney Coutinho Menezes,Tecnologia,https://m.media-amazon.com/images/I/71MIG6Z3F2L._SY385_.jpg,978-8575227183,8575227181,https://www.amazon.com.br/Introdu%C3%A7%C3%A3o-Programa%C3%A7%C3%A3o-com-Python-Algoritmos/dp/8575227181/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=python&sr=8-1
3,Java Para Leigos,"Escrito por uma das maiores referências da programação, Barry Burd, o Java Para Leigos, Tradução da 5ª Edição, traz informações atualizadas sobre linguagens de programação, o básico da programação orientada a objetos, direcionamentos de como criar aplicativos utilizando o JDK7, reutilizar códigos e mais!Este livro é dedicado para programadores inciantes e experientes e, até mesmo, pessoas curiosas que querem entender um pouco mais a respeito do tema.Segue o padrão da Para Leigos, com linguagem de fácil acesso e explicações passo a passo para que programar se torne uma atividade fácil e divertida!",424 páginas,Português,Alta Books; 5ª edição (1 novembro 2013),Barry Burd,Tecnologia,https://m.media-amazon.com/images/I/61-cfirLrEL._SY385_.jpg,978-8576088011,8576088010,https://www.amazon.com.br/Java-para-leigos-Barry-Burd/dp/8576088010/ref=sr_1_7?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=java&sr=8-7
4,Estruturas de Dados e Algoritmos com JavaScript: Escreva um Código JavaScript Complexo e Eficaz Usando a Mais Recente ECMAScript,"Uma estrutura de dados é uma maneira particular de organizar dados em um computador com o intuito de usar os recursos de modo eficaz. As estruturas de dados e os algoritmos são a base de todas as soluções para qualquer problema de programação. Com este livro, você aprenderá a escrever códigos complexos e eficazes usando os recursos mais recentes da ES 2017.
O livro ""Estruturas de dados e algoritmos com JavaScript"" começa abordando o básico sobre JavaScript e apresenta a ECMAScript 2017, antes de passar gradualmente para as estruturas de dados mais importantes, como arrays, filas, pilhas e listas ligadas. Você adquirirá um conhecimento profundo sobre como as tabelas hash e as estruturas de dados para conjuntos funcionam, assim como de que modo as árvores e os mapas hash podem ser usados para buscar arquivos em um disco rígido ou para representar um banco de dados. Este livro serve como um caminho para você mergulhar mais fundo no JavaScript. Você também terá uma melhor compreensão de como e por que os grafos – uma das estruturas de dados mais complexas que há – são amplamente usados em sistemas de navegação por GPS e em redes sociais.",408 páginas,Português,Novatec Editora; 2ª edição (11 março 2019),Loiane Groner,Tecnologia,https://m.media-amazon.com/images/I/71KGa1y8eaL._SY385_.jpg,978-8575226933,8575226932,https://www.amazon.com.br/Estruturas-Dados-Algoritmos-Com-Javascript/dp/8575226932/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
5,Arquitetura limpa: o guia do artesão para estrutura e design de software,"As regras universais de arquitetura de software aumentam dramaticamente a produtividade dos desenvolvedores ao longo da vida dos sistemas de software. Agora, aproveitando o sucesso dos seus best-sellers ""Código Limpo"" e ""O Codificador Limpo"", o lendário artesão de software Robert C. Martin (“Uncle Bob”) vai revelar essas regras e ajudar o leitor a aplicá-las.A ""Arquitetura Limpa"" de Martin não é só mais um catálogo de opções. Com base em meio século de experiência nos mais variados ambientes de software, Martin indica as escolhas que você deve fazer e explica por que elas são cruciais para o seu sucesso. Como já era esperado do Uncle Bob, este livro está cheio de soluções simples e diretas para os desafios reais que você enfrentará - aqueles que irão influenciar diretamente o sucesso ou fracasso dos seus projetos. Aprenda sobre as metas dos arquitetos de software - e as principais disciplinas e práticas que podem concretizá-las;Domine os princípios essenciais do design de software para abordar função, separação de componentes e gestão de dados;Veja como os paradigmas de programação impõem disciplina ao restringirem as ações dos desenvolvedores;Saiba identificar o que é crucialmente importante e o que é apenas um “detalhe”;Implemente estruturas ótimas e de alto nível para web, banco de dados, thick-client, console e aplicativos incorporados;Defina limites e camadas adequadas e organize os componentes e serviços;Saiba por que designs e arquiteturas dão errado e como prevenir (ou corrigir) essas falhas.",432 páginas,Português,Alta Books; 1ª edição (23 abril 2019),Robert C. Martin,Tecnologia,https://m.media-amazon.com/images/I/815d9tE7jSL._SY385_.jpg,978-8550804606,8550804606,https://www.amazon.com.br/Arquitetura-Limpa-Artes%C3%A3o-Estrutura-Software/dp/8550804606/ref=d_wsixn_inc_v1_sccl_1_2/137-7733330-2035121?content-id=amzn1.sym.6aae30b1-f28d-491f-8557-da944231f03f&pd_rd_i=8550804606&psc=1
6,Flutter na Prática: Melhore seu Desenvolvimento Mobile com o SDK Open Source Mais Recente do Google,"Saiba o que o Flutter tem para oferecer, de onde ele veio e para onde vai. O desenvolvimento de aplicativos móveis está progredindo rapidamente, e com o Flutter – um SDK open source de desenvolvimento de aplicações móveis criado pelo Google – você pode desenvolver aplicações para Android e iOS, assim como para o Google Fuchsia.
Você aprenderá a criar três aplicativos (um gerenciador de informações pessoais, um sistema de chat e um projeto de game) que poderá instalar em seus dispositivos móveis e de fato usar. Começará ganhando uma base sólida sobre o Flutter e a usará imediatamente para construir dois aplicativos de produtividade mais tradicionais. Também aprenderá a criar um game, o que lhe permitirá ter uma perspectiva totalmente diferente do que o Flutter pode fazer. Além de construir esses aplicativos, você se beneficiará da verificação de problemas do mundo real com os quais pode deparar, e de maneiras de lidar com eles com dicas e truques, tudo isso pensado para tornar sua experiência com o Flutter muito mais produtiva e, na verdade, divertida!",368 páginas,Português,Novatec Editora; 1ª edição (21 janeiro 2020),Frank Zammetti,Tecnologia,https://m.media-amazon.com/images/I/71pvIcPye0L._SY385_.jpg,978-8575228227,8575228226,https://www.amazon.com.br/Flutter-Pr%C3%A1tica-Melhore-Desenvolvimento-Recente/dp/8575228226/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
7,Microsserviços Prontos Para a Produção: Construindo Sistemas Padronizados em uma Organização de Engenharia de Software,"Um dos maiores desafios para as empresas que adotaram a arquitetura de microsserviços é a falta de padronização de arquitetura – operacional e organizacional. Depois de dividir uma aplicação monolítica ou construir um ecossistema de microsserviços a partir do zero, muitos engenheiros se perguntam o que vem a seguir. Neste livro prático, a autora Susan Fowler apresenta com profundidade um conjunto de padrões de microsserviço, aproveitando sua experiência de padronização de mais de mil microsserviços do Uber. Você aprenderá a projetar microsserviços que são estáveis, confiáveis, escaláveis, tolerantes a falhas, de alto desempenho, monitorados, documentados e preparados para qualquer catástrofe. Explore os padrões de disponibilidade de produção, incluindo:Estabilidade e confiabilidade – desenvolva, implante, introduza e descontinue microsserviços; proteja-se contra falhas de dependência; Escalabilidade e desempenho – conheça os componentes essenciais para alcançar mais eficiência do microsserviço; Tolerância a falhas e prontidão para catástrofes – garanta a disponibilidade forçando ativamente os microsserviços a falhar em tempo real; Monitoramento – aprenda como monitorar, gravar logs e exibir as principais métricas; estabeleça procedimentos de alerta e de prontidão.",224 páginas,Português,Novatec Editora; 1ª edição (5 outubro 2017),Susan J. Fowler,Tecnologia,https://m.media-amazon.com/images/I/71x4T-zzbSL._SY385_.jpg,978-8575226216,8575226215,https://www.amazon.com.br/Microsservi%C3%A7os-Prontos-Para-Produ%C3%A7%C3%A3o-Padronizados/dp/8575226215/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=microsservi%C3%A7os&sr=8-1
8,Machine Learning – Guia de Referência Rápida: Trabalhando com Dados Estruturados em Python,"Com notas, tabelas e exemplos detalhados, esta referência prática ajudará você a navegar pelo básico do machine learning com dados estruturados. O autor Matt Harrison oferece um ótimo guia que você poderá usar como material complementar para cursos, além de servir como um recurso conveniente quando você iniciar o seu próximo projeto de machine learning.
Ideal para programadores, cientistas de dados e engenheiros da área de IA, este livro apresenta uma visão geral do processo de machine learning e da classificação com dados estruturados. Você conhecerá métodos para clustering (agrupamento), regressão e redução de dimensões, entre outros assuntos.",272 páginas,Português,Novatec Editora; 1ª edição (11 dezembro 2019),Matt Harrison,Tecnologia,https://m.media-amazon.com/images/I/71HRMXzEIcL._SY385_.jpg,978-8575228173,857522817X,https://www.amazon.com.br/Machine-Learning-Refer%C3%AAncia-Trabalhando-Estruturados/dp/857522817X/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
9,Inteligência Artificial - Uma Abordagem de Aprendizado de Máquina,"Inteligência Artificial sob novos olhares. Com abordagem equilibrada de tópicos básicos e avançados desenvolvidos por renomados pesquisadores da área, esta nova edição traz exemplos de implemen­tações dos métodos abordados e exercícios teóricos e práticos.Vencedor do Prêmio Jabuti 2012 (Categoria Tecnologia e Informática) quando foi lançado, Inteligência Artificial – Uma Abordagem de Aprendizado de Máquina aborda os principais conceitos e algoritmos de aprendizado de máquina e aponta caminhos para transformar esse conhecimento em aplicações práticas, como:auxílio ao diagnóstico de doenças e descoberta de tratamentos mais eficazes;monitoramento da qualidade da água;prevenção de incêndios florestais;detecção e localização de falhas em linhas de transmissão de energia;reconhecimento de imagens para prover segurança em eventos;bloqueio de mensagens fraudulentas que impõem riscos aos usuários, entre outras.Por que ter Inteligência Artificial?Há algum tempo, a área de inteligência artificial deixou de ser vista apenas como teórica – destinada à aplicação em pequenos problemas “curiosos” – para se tornar um campo de pesquisa crescente, em busca de soluções de problemas reais da sociedade.Katti Faceli, Ana Carolina Lorena, João Gama, Tiago Agostinho Almeida e André Carlos Ponce Carvalho preenchem, com sucesso, a lacuna de livros abrangentes e atualizados voltados ao público nacional.",304 páginas,Português,LTC; 2ª edição (12 março 2021),André Carlos Ponce de Leon Ferreira et al. CARVALHO,Tecnologia,https://m.media-amazon.com/images/I/81FYVwJNC2L._SY385_.jpg,978-8521637349,8521637349,https://www.amazon.com.br/Intelig%C3%AAncia-Artificial-Abordagem-Aprendizado-M%C3%A1quina/dp/8521637349/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=https://www.amazon.com.br/Conversando-com-Rob%C3%B4s-GPTear-ChatGPT/dp/6556253456/ref=sr_1_13?keywords=inteligencia+artificial&sr=8-13
10,Introdução à Inteligência Artificial: uma Abordagem Não Técnica,"A inteligência artificial envolve praticamente todas as partes do seu dia. Embora seja inicialmente possível assumir que tecnologias como alto-falantes inteligentes e assistentes digitais sejam sua extensão, a IA tornou-se rapidamente uma tecnologia de uso geral, repercutindo em diversos setores – como transportes, saúde, serviços financeiros e muito mais. Na era moderna, a compreensão da IA e suas possibilidades para uma empresa é essencial para que se alcancem crescimento e sucesso.
O livro Introdução à Inteligência Artificial chega para equipar os leitores com uma compreensão fundamental e oportuna da IA e seu impacto. O autor Tom Taulli oferece uma introdução atraente e não técnica a conceitos importantes, como machine learning (aprendizagem de máquina), deep learning (aprendizagem profunda), natural language processing (PNL – processamento da linguagem natural), robótica e muito mais. Além de guiá-lo por estudos de caso do mundo real e etapas práticas de implementação, Taulli usa sua experiência para expandir as questões mais amplas que cercam a IA. Isso inclui tendências sociais, ética e impacto futuro que a IA causará nos governos, estruturas de empresas e vida cotidiana do mundo.",232 páginas,Português,Novatec Editora; 1ª edição (6 janeiro 2020),Tom Taulli,Tecnologia,https://m.media-amazon.com/images/I/71O8iZes6lL._SY385_.jpg,978-8575228197,8575228196,https://www.amazon.com.br/Introdu%C3%A7%C3%A3o-Intelig%C3%AAncia-Artificial-Abordagem-T%C3%A9cnica/dp/8575228196/ref=sr_1_9?keywords=inteligencia+artificial&sr=8-9
