title,genres
Par ou ímpar: Perguntas e respostas para quem quer (ou não) encontrar o amor da sua vida,Romance | Autoajuda | Não Ficção
A troca,Romance | Comédia | Contemporâneo
Teto para dois,Romance | Comédia | Ficção Contemporânea
Luzes do Norte,Romance | Drama | Contemporâneo
Leitura de verão,Romance | Comédia | Contemporâneo
Corte de névoa e fúria,Fantasia | Romance | Jovem Adulto
O peso da glória,Não Ficção | Ensaios | Religião
O labirinto de fogo,Fantasia | Aventura | Jovem Adulto
Malibu renasce,Romance | Drama | Contemporâneo
A hipótese do amor,Romance | Comédia | Contemporâneo
Orgulho e preconceito,Romance | Clássico | Romance de Época
O amor nos tempos do cólera,Romance | Literatura Latino-Americana | Clássico
Todas as sua,Romance | Drama | Contemporâneo
Jane Eyre,Romance | Clássico | Gótico
Rebecca,Mistério | Romance | Gótico
O sol é para todos,Ficção Histórica | Drama | Legal
As pontes de Madison,Romance | Drama | Contemporâneo
Anna Karênina,Romance | Clássico | Literatura Russa
Me chame pelo seu nome,Romance | LGBT | Contemporâneo
O morro dos ventos uivantes,Romance | Gótico | Clássico
"Amor, teoricamente",Romance | Comédia | Contemporâneo
Água para elefantes,Romance | Drama | História
"Comer, rezar, amar",Não Ficção | Memórias | Viagem
O paciente inglês,Romance | História | Drama
A cor púrpura,Ficção | Drama | Literatura Afro-Americana
As virgens suicidas,Ficção | Drama | Contemporâneo
A sombra do vento,Mistério | Romance | Contemporâneo
"Cabeça Fria, Coração Quente",Não Ficção | Biografia | Esporte
Quem tem medo do feminismo negro?,Não Ficção | Feminismo | Ensaios
O rei dos dividendos,Não Ficção | Biografia | Finanças
Minha História,Não Ficção | Memórias | Política
Silvio Santos: A biografia,Não Ficção | Biografia | Entretenimento
O que sobra,Não Ficção | Biografia | Realeza
Em busca de mim,Não Ficção | Memórias | Atuação
Tesla: A vida e a loucura do gênio,Não Ficção | Biografia | Ciência
Todo dia a mesma noite,Não Ficção | Jornalismo | História
O diário de Anne Frank,Não Ficção | Memórias | História
Steve Jobs,Não Ficção | Biografia | Tecnologia
Ayrton Senna: Uma Lenda a Toda Velocidade,Não Ficção | Biografia | Esporte
Einstein: Biografia de um gênio imperfeito,Não Ficção | Biografia | Ciência
Frida: A biografia,Não Ficção | Biografia | Arte
Churchill: Caminhando com o destino,Não Ficção | Biografia | História
Mao,Não Ficção | Biografia | História
Autobiografia: Minha vida e minhas experiências com a verdade,Não Ficção | Autobiografia | Política
Diana: Sua verdadeira história,Não Ficção | Biografia | Realeza
Simone de Beauvoir: A biografia,Não Ficção | Biografia | Filosofia
Darwin: A vida de um evolucionista atormentado,Não Ficção | Biografia | Ciência
Elon Musk: Como o CEO bilionário da SpaceX e da Tesla está moldando o nosso futuro,Não Ficção | Biografia | Tecnologia
Ciência no cotidiano,Não Ficção | Ciência | Divulgação Científica
Homo Deus,Não Ficção | Filosofia | Futuro da Humanidade
O oráculo da noite,Não Ficção | Ciência | Psicologia
Cosmos,Não Ficção | Ciência | Astronomia
O grande livro de ciências do Manual do Mundo,Não Ficção | Educação | Ciência Divertida
Pálido ponto azul,Não Ficção | Ciência | Astronomia
Nosso universo,Não Ficção | Ciência | Cosmologia
O livro da ciência,Não Ficção | Enciclopédia | Ciência
Ciência e pseudociência,Não Ficção | Ciência | Ceticismo Científico
Super-Heróis da Ciência,Não Ficção | Ciência | Biografia Científica
Uma breve história do tempo,Não Ficção | Ciência | Física
O gene,Não Ficção | Ciência | Genética
Sapiens - Uma Breve História da Humanidade,Não Ficção | História | Antropologia
O universo elegante,Não Ficção | Ciência | Física Teórica
A Origem das Espécies - Charles Darwin,Não Ficção | Ciência | Biologia Evolutiva
A dança do universo,Não Ficção | Ciência | Filosofia da Ciência
Breves respostas para grandes questões,Não Ficção | Ciência | Física
A Estrutura das revoluções científicas,Não Ficção | Filosofia da Ciência | História da Ciência
O mundo assombrado pelos demônios,Não Ficção | Ciência | Ceticismo Científico
A história da física,Não Ficção | História da Ciência | Ciência
Hábitos atômicos,Autoajuda | Psicologia | Desenvolvimento Pessoal
As coisas que você só vê quando desacelera,Autoajuda | Espiritualidade | Bem-Estar
A psicologia financeira,Não Ficção | Finanças | Autoajuda
Essencialismo,Autoajuda | Produtividade | Desenvolvimento Pessoal
Switch,Não Ficção | Psicologia | Mudança Comportamental
F*deu geral,Autoajuda | Psicologia | Desenvolvimento Pessoal
Mindset,Psicologia | Desenvolvimento Pessoal | Educação
Arrume a sua cama,Autoajuda | Disciplina | Militar
O milagre da manhã,Autoajuda | Bem-Estar | Desenvolvimento Pessoal
Pare de tentar. Comece a fazer,Autoajuda | Psicologia | Desenvolvimento Pessoal
O poder dos quietos,Psicologia | Introversão | Autoajuda
O poder da ação,Autoajuda | Desenvolvimento Pessoal | Coaching
Mentes ansiosas,Psicologia | Saúde Mental | Autoajuda
Como falar em público e encantar as pessoas,Comunicação | Autoajuda | Desenvolvimento Pessoal
Como fazer amigos e influenciar pessoas na era digital,Comunicação | Relações Interpessoais | Autoajuda
Como fazer amigos e influenciar pessoas,Comunicação | Relações Interpessoais | Autoajuda
A Arte da Felicidade,Espiritualidade | Bem-Estar | Filosofia
A coragem de ser imperfeito,Autoajuda | Psicologia | Desenvolvimento Pessoal
O poder do hábito,Não Ficção | Psicologia | Desenvolvimento Pessoal
O segredo,Autoajuda | Espiritualidade | Lei da Atração
"Pai rico, pai pobre",Finanças pessoais | Autoajuda | Negócios
Economia Para Leigos,Economia | Não Ficção | Educação
Riquezas certas para você,Finanças pessoais | Autoajuda | Negócios
Como Pensar a Economia de Forma Simples,Economia | Negócios | Não Ficção
"Ricos, sábios e felizes",Investimentos | Biografia | Finanças pessoais
Economia no cotidiano,Economia | Não Ficção | Atualidades
Últimos Escritos Econômicos de Karl Marx,Economia | Filosofia | Teoria Econômica
O homem mais rico da Babilônia,Finanças pessoais | Autoajuda | Ficção Histórica
Crash: Uma breve história da economia,Economia | História | Não Ficção
O mundo é plano,Economia | Globalização | Não Ficção
A ascensão do dinheiro,Economia | História financeira | Não Ficção
Os Códigos do Milhão,Finanças pessoais | Autoajuda | Negócios
Superprevisões,Psicologia | Previsão | Não Ficção
Análise técnica do mercado financeiro,Finanças | Investimentos | Não Ficção
A Estratégia do Oceano Azul,Estratégia empresarial | Negócios | Não Ficção
Crises financeiras: Brasil e mund,Economia | História | Não Ficção
A Mentalidade Anticapitalista,Economia | Filosofia | Política
O Capital no Século XXI,Economia | Teoria Econômica | Não Ficção
O capital,Economia | Filosofia | Teoria Econômica
Economia nua e crua,Economia | Não Ficção | Educação
O Livro Negro do Capitalismo,Crítica social | Economia | Política
Freakonomics,Economia Comportamental | Não Ficção | Sociologia
A Riqueza das Nações,Economia | Clássico | Teoria Econômica
O lobo de Wall Street,Biografia | Finanças | Crime
A Máquina do Tempo,Ficção Científica | Clássico | Aventura
Fortaleza digital,Suspense Tecnológico | Mistério | Ação
Star Wars: o livro de Boba Fett,Ficção Científica | Ficção de Star Wars | Ação
Star Wars: A Velha República - Revan,Ficção Científica | Ficção de Star Wars | Aventura
O Homem Invisível,Ficção Científica | Clássico | Terror
O guia do mochileiro das galáxias,Ficção Científica | Comédia | Aventura
Neuromancer,Ficção Científica | Cyberpunk | Distopia
A Biblioteca da Meia-Noite,Ficção Contemporânea | Fantasia | Mistério
O Homem de Giz,Suspense | Mistério | Ficção Contemporânea
Regresso Do Peregrino,Ficção Cristã | Alegoria | Filosofia
Os Despossuídos,Ficção Científica | Utopia | Filosofia
O Fim da Eternidade,Ficção Científica | Viagem no Tempo | Clássico
A mão esquerda da escuridão,Ficção Científica | Fantasia | Filosofia
1984,Distopia | Ficção Política | Clássico
Encontro com Rama,Ficção Científica | Espaço | Aventura
"Eu, Robô",Ficção Científica | Robótica | Contos
Snow Crash,Ficção Científica | Cyberpunk | Ação
Harry Potter e a Pedra Filosofal,Fantasia | Jovem Adulto | Magia
Harry Potter e a Câmara Secreta,Fantasia | Jovem Adulto | Magia
Harry Potter e o Prisioneiro de Azkaban,Fantasia | Jovem Adulto | Magia
Harry Potter e o Cálice de Fogo,Fantasia | Jovem Adulto | Magia
Harry Potter e a Ordem da Fênix,Fantasia | Jovem Adulto | Magia
Harry Potter E O Enigma Do Príncipe,Fantasia | Jovem Adulto | Magia
Harry Potter e as Relíquias da Morte,Fantasia | Jovem Adulto | Magia
Empreendedorismo e desenvolvimento local,Negócios | Empreendedorismo | Desenvolvimento Pessoal
O Modelo Toyota de Excelência em Serviços,Negócios | Liderança | Gestão
Simplificando os negócios,Negócios | Liderança | Marketing
Mestres da escala,Negócios | Empreendedorismo | Estratégia
A fórmula do lançamento,Negócios | Marketing | Empreendedorismo
Empreendedores inteligentes enriquecem mais,Finanças | Empreendedorismo | Negócios
A mente do empreendedor,Empreendedorismo | Psicologia | Desenvolvimento Pessoal
O poder do equity,Investimentos | Empreendedorismo | Negócios
A startup enxuta,Empreendedorismo | Inovação | Negócios
"Instagram, WhatsApp e Facebook para Negócios",Negócios | Marketing | Mídias Sociais
O ponto da virada,Psicologia | Sociologia | Desenvolvimento Pessoal
Pense & enriqueça,Autoajuda | Finanças | Desenvolvimento Pessoal
O Mito do Empreendedor,Negócios | Empreendedorismo | Gestão
Faça acontecer,Liderança | Empoderamento | Negócios
Negocie qualquer coisa com qualquer pessoa,Negociação | Comunicação | Desenvolvimento Pessoal
A arte da negociação,Negociação | Negócios | Autoajuda
Empresas feitas para vencer,Negócios | Liderança | Gestão
A Loja de Tudo,Negócios | Tecnologia | História
Como se tornar um líder servidor,Liderança | Empreendedorismo | Desenvolvimento Pessoal
O líder servidor,Liderança | Desenvolvimento Pessoal | Negócios
O livro negro do empreendedor,Negócios | Empreendedorismo | Estratégia
A Cauda Longa,Negócios | Tecnologia | Marketing
Artificial Intelligence: A Modern Approach,Computação | Inteligência Artificial | Educação
"Programação em Baixo Nível: C, Assembly e Execução de Programas na Arquitetura Intel 64",Programação | Computação | Linguagens de Programação
Introdução à Programação com Python: Algoritmos e Lógica de Programação Para Iniciantes,Programação | Python | Educação
Java Para Leigos,Programação | Java | Educação
Estruturas de Dados e Algoritmos com JavaScript,Programação | JavaScript | Educação
Arquitetura limpa: o guia do artesão para estrutura e design de software,Desenvolvimento de Software | Arquitetura | Programação
Flutter na Prática: Melhore seu Desenvolvimento Mobile com o SDK Open Source Mais Recente do Google,Desenvolvimento de Aplicativos | Flutter | Programação
Microsserviços Prontos Para a Produção: Construindo Sistemas Padronizados em uma Organização de Engenharia de Software,Engenharia de Software | Microsserviços | Tecnologia
Machine Learning – Guia de Referência Rápida: Trabalhando com Dados Estruturados em Pytho,Aprendizado de Máquina | Python | Ciência de Dados
Inteligência Artificial - Uma Abordagem de Aprendizado de Máquina,Inteligência Artificial | Aprendizado de Máquina | Ciência de Dados
Introdução à Inteligência Artificial: uma Abordagem Não Técnica,Inteligência Artificial | Ciência da Computação | Educação
Linguagem de Programacao Cobol Para Mainframe,Programação | COBOL | Mainframe
Inteligência artificial,Inteligência Artificial | Tecnologia | Ciência de Dados
Migrando Sistemas Monolíticos Para Microsserviços: Padrões Evolutivos Para Transformar seu Sistema Monolítico,Microsserviços | Engenharia de Software | Tecnologia
Design Patterns com Java. Projeto Orientado a Objetos Guiado por Padrões,Programação | Design de Software | Java
Arduino: Guia Avançado Para Projetos,Eletrônica | Arduino | Programação
"Python Fluente: Programação Clara, Concisa e Eficaz",Programação | Python | Desenvolvimento de Software
PHP & MySQL: Server-Side Web Development,Desenvolvimento Web | PHP | MySQL
Desenvolvendo Websites com PHP: Aprenda a Criar Websites Dinâmicos e Interativos com PHP e Bancos de Dados,Desenvolvimento Web | PHP | Banco de Dados
Lógica de Programação e Algoritmos com JavaScript: uma Introdução à Programação de Computadores com Exemplos e Exercícios Para Iniciantes,Programação | JavaScript | Educação
JavaScript: O Guia Definitivo,Programação | JavaScript | Desenvolvimento Web
E não sobrou nenhum - Edição de luxo,Mistério | Suspense | Ficção Policial
Estado de terror,Mistério | Suspense | Ficção Policial
Histórias extraordinárias,Contos | Horror | Clássicos da Literatura
Box Terríveis Mestres,Contos | Horror | Clássicos da Literatura
It: A coisa,Terror | Suspense | Ficção de Horror
Laranja Mecânica: Edição Comemorativa de 50 anos,Ficção Científica | Distopia | Clássicos da Literatura
O cemitério,Suspense | Mistério | Ficção de Terror
Ghost Story,Horror | Suspense | Sobrenatural
O vilarejo,Terror | Suspense | Ficção de Horror
Carmilla - A vampira de Karnstein +,Horror | Gótico | Clássicos da Literatura
A Hora do Vampiro,Terror | Suspense | Ficção de Horror
O médico e o monstro,Horror | Clássicos da Literatura | Suspense
Hellraiser - Renascido do Inferno,Horror | Sobrenatural | Ficção de Terror
A assombração da Casa da Colina,Horror | Suspense | Sobrenatural
O silêncio dos inocentes,Suspense | Policial | Terror
Drácula - Dark Edition,Horror | Clássicos da Literatura | Vampiros
O Exorcista,Horror | Sobrenatural | Suspense
Psicose,Suspense | Horror | Psicológico
O iluminado,Terror | Suspense | Ficção de Horror