titulo,preco,descricao,paginas,img_link,id_editora,id_genero,id_autor,id_idioma
"Cabeça Fria, Coração Quente",40.41,"Escrito em primeira pessoa pela equipa técnica liderada pelo treinador Abel Ferreira, o livro ""Cabeça fria, coração quente"" faz uma viagem pelos bastidores das conquistas do Palmeiras nas temporadas de 2020 e 2021, culminando no bicampeonato da Copa Libertadores da América.",554,https://m.media-amazon.com/images/I/41lUjbBeK6L.jpg,1,1,1,1
Quem tem medo do feminismo negro?,19.90,"Um livro essencial e urgente, pois enquanto mulheres negras seguirem sendo alvo de constantes ataques, a humanidade toda corre perigo.
Quem tem medo do feminismo negro? reúne um longo ensaio autobiográfico inédito e uma seleção de artigos publicados por Djamila Ribeiro no blog da revista CartaCapital, entre 2014 e 2017. No texto de abertura, a filósofa e militante recupera memórias de seus anos de infância e adolescência para discutir o que chama de ""silenciamento"", processo de apagamento da personalidade por que passou e que é um dos muitos resultados perniciosos da discriminação. Foi apenas no final da adolescência, ao trabalhar na Casa de Cultura da Mulher Negra, que Djamila entrou em contato com autoras que a fizeram ter orgulho de suas raízes e não mais querer se manter invisível. Desde então, o diálogo com autoras como Chimamanda Ngozi Adichie, bell hooks, Sueli Carneiro, Alice Walker, Toni Morrison e Conceição Evaristo é uma constante.
Muitos textos reagem a situações do cotidiano — o aumento da intolerância às religiões de matriz africana; os ataques a celebridades como Maju ou Serena Williams – a partir das quais Djamila destrincha conceitos como empoderamento feminino ou interseccionalidade. Ela também aborda temas como os limites da mobilização nas redes sociais, as políticas de cotas raciais e as origens do feminismo negro nos Estados Unidos e no Brasil, além de discutir a obra de autoras de referência para o feminismo, como Simone de Beauvoir.",165,https://m.media-amazon.com/images/I/41ocS+To+EL.jpg,2,1,2,1
O rei dos dividendos: A saga do filho de imigrantes pobres que se tornou o maior investidor pessoa física da bolsa de valores brasileira,31.41,"""O livro que você tem em mãos é uma inspiração para a riqueza, mas não só: ao compartilhar momentos de humor e astúcia, dor e alegria, Barsi vai se mostrando, pouco a pouco, como realmente é, em toda a sua humanidade.",266,https://m.media-amazon.com/images/I/41k6c7A-M6L.jpg,3,1,3,1
Minha história,39.90,"Um relato íntimo, poderoso e inspirador da ex-primeira-dama dos Estados Unidos. O livro que já vendeu mais de 10 milhões de exemplares no mundo e está há mais de 50 semanas na lista de mais vendidos da Veja.",661,https://m.media-amazon.com/images/I/41-NqD3Jy6L.jpg,4,1,4,1
A menina da montanha: A trajetória real da americana que pisou numa sala de aula pela primeira vez aos 17 anos até a conquista do doutorado em Cambridge,28.40,"Eleito o livro do ano (2018) pela Amazon. Escolhido como um dos livros do ano pelo Bill Gates e indicado pelo ex-presidente americano Barack Obama, além de figurar entre a lista dos mais vendidos do NYT
Tara Westover tinha 17 anos quando pisou pela primeira vez em uma sala de aula. Nascida nas montanhas de Idaho, Estados Unidos, era a caçula de sete irmãos. Guiados pelo fanatismo do pai, todos estavam sempre se preparando para o fim do mundo, estocando conservas e dormindo com uma mala pronta para o caso de fuga. No verão, ajudava a mãe, parteira e curandeira, a fazer remédios medicinais. No inverno, coletava sucata com o pai.",366,https://m.media-amazon.com/images/I/51UfHSbnfmL.jpg,5,1,5,1
O que sobra,23.94,"Esta foi uma das imagens mais tocantes do século XX: dois jovens, dois príncipes, caminhando atrás do caixão da mãe, enquanto o mundo acompanhava os eventos com tristeza – e horror. Conforme Diana, a Princesa de Gales, era sepultada, bilhões de pessoas se perguntavam como se sentiam, e o que pensavam, os príncipes – e como a vida deles iria se desenrolar a partir daquele momento.
Para Harry, esta é enfim a sua história.
Com uma honestidade total e incontornável, O que sobra é um marco editorial, cheio de inspiração, revelações, introspecção e sabedoria, conquistada com muito esforço, no que diz respeito ao eterno poder do amor sobre a perda.
""Corajoso, reflexivo e bem escrito."" –  ",683,https://m.media-amazon.com/images/I/417WM4uIEKL.jpg,4,1,6,1
Em busca de mim,18.56,"A internacionalmente aclamada atriz Viola Davis narra em sua biografia, Em busca de mim, tudo o que viveu desde a infância difícil até o estrelato. Nesta biografia você vai conhecer uma garotinha chamada Viola, que fugia de seu passado até tomar a transformadora decisão de parar de fugir para sempre.",317,https://m.media-amazon.com/images/I/51PfMe6pHwL.jpg,6,1,7,1
Ideias para adiar o fim do mundo (Nova edição),16.90,"Uma parábola sobre os tempos atuais, por um de nossos maiores pensadores indígenas.",73,https://m.media-amazon.com/images/I/41G3QOKGJLL.jpg,2,1,8,1
Todo dia a mesma noite (série da Netflix),31.41,Reportagem definitiva sobre o incêndio na Boate Kiss inspirou série da Netflix,202,https://m.media-amazon.com/images/I/41-ndsZp1fL.jpg,7,1,9,1
O Diário de Anne Frank (Clássicos da literatura mundial),8.91,"É a história real de uma garota judia de 13 anos que ficou escondida com a família durante a ocupação nazista da Holanda. O nome dela era Annelies Marie Frank, nasceu em 12 de junho de 1929 em Frankfurt, na Alemanha, e morreu em um campo de concentração, pouco antes do fim da Segunda Guerra Mundial, em 1945. Foi escondida, no último andar de um prédio, que Anne Frank escreveu durante mais de 2 anos em dos registros mais detalhados do dia a dia daquela fase em que os nazistas, liderados por Hitler, espalharam o horror entre seus perseguidos.",266,https://m.media-amazon.com/images/I/41eve-WrCBL.jpg,8,1,10,1
Venda e informação: O perfil do vendedor de sucesso,16.17,"Informação é poder, mas só se utilizada.
E essa é, digamos, uma das profissões mais difíceis que existem e por isso também uma das mais bem pagas. Na prática, o vendedor não tem limite de ganho. Se ele trabalhar com comissão, seu ganho somente dependerá dele e é aí que a questão tema deste livro se inicia.
O vendedor precisa ter um perfil psicológico, uma mente e um controle emocional muito acima do normal para ter sucesso. Para entender as técnicas que nós explicaremos e os porquês, é preciso que as pessoas estejam dispostas a ampliar a complexidade da própria mente, expandir a própria compreensão de todas essas técnicas. Se nós fossemos repetir o que já foi escrito há milênios, não acrescentaríamos nada.",39,https://m.media-amazon.com/images/I/41Sup7CUTtL.jpg,9,2,11,1
O Modelo Toyota de Excelência em Serviços: A Transformação Lean em Organizações de Serviço,80.91,"Leitura obrigatória para os profissionais da área de serviço, este livro leva os princípios lean da série best-seller O Modelo Toyota diretamente para as indústrias em que a qualidade do serviço é crucial para o sucesso. Jeff Liker e Karyn Ross mostram como desenvolver os princípios lean em uma organização usando o famoso modelo dos 4Ps. Os casos apresentados são de muitas indústrias diferentes, incluindo saúde, seguros, serviços financeiros e telecomunicações, e comprovam que os princípios e as práticas lean funcionam tão bem em serviços quanto em manufatura.",439,https://m.media-amazon.com/images/I/518FJAEmX3L.jpg,10,2,12,1
"Simplificando os negócios: 60 Dias para Dominar Liderança, Vendas, Marketing, Execução, Gestão, Produtividade pessoal e muito mais",44.00,"Este livro é mais útil do que um Diploma em negócios?

A maioria das pessoas inicia suas carreiras sem entender como fazer uma empresa crescer. Às vezes, isso as faz se sentirem perdidas, ou pior, uma fraude, como se não soubessem o que estão fazendo.",253,https://m.media-amazon.com/images/I/41XNR4nWBtL.jpg,11,2,13,1
Mestres da escala: As grandes ideias que transformaram pequenos negócios em sucessos globais,31.41,"“Reid Hoffman tem talento para ir direto ao coração de cada caso e transformá-lo em uma lição inesquecível. Quem gosta de histórias bem contadas vai saborear este livro.” – Bob Iger, CEO da The Walt Disney Company
“Para liderar com visão e coração, comece aprendendo com os outros. Hoffman conta ótimas histórias para ensinar lições e traz conselhos sólidos (e às vezes surpreendentes!) para acelerar sua jornada.” – Angela Ahrendts, ex-vice-presidente de varejo da Apple",360,https://m.media-amazon.com/images/I/51v1ShlC-RL.jpg,3,2,14,1
"A fórmula do lançamento: As estratégias secretas para vender on-line, criar um negócio de sucesso e viver a vida dos seus sonhos",26.53,"A bíblia do marketing digital. Como vender on-line e criar um negócio de sucesso.

Foi isso que Jeff Walker, autor deste livro e criador da Product Launch Formula™, desenvolveu. Ele mudou a vida de milhares de pessoas com esse método, e agora também pode mudar a sua, ajudando-o a criar um negócio que ame e a alcançar a vida de seus sonhos.
A Product Launch Formula™ é um método de lançamento de produtos on-line que abrange as mais diversas áreas de negócios e marketing. Ao seguir os passos indicados neste livro por Jeff, será possível planejar um lançamento de forma eficaz, atraindo o público-alvo para seu produto e ganhando, provavelmente, muito dinheiro.
A fórmula de Jeff Walker já foi comprovada por vários de seus alunos, que lançaram produtos em mercados diversificados, desde o aconselhamento sentimental aos fundos de investimento mútuos, passando por aulas de guitarra. Os lucros arrecadados e os resultados obtidos em praticamente todos os casos guiados pela Product Launch Formula™ são inacreditáveis, mas verdadeiros.
O sucesso bateu à porta de todos os que se utilizaram desse método inovador e eficiente.",298,https://m.media-amazon.com/images/I/51q33hwz6lL.jpg,12,2,15,1
"Contabilidade Empresarial - Instrumento de Análise, Gerência e Decisão",199.00,"A 18a edição foi atualizada de acordo com as Normas Internacionais de Contabilidade (IFRS) expressadas pelos pronunciamentos do Comitê de Pronunciamentos Contábeis (CPC) e pelas Normas Brasileiras de Contabilidade (NBC). A edição também vem com muitas novidades, incluindo novos exercícios com respostas, vídeos explicativos do conteúdo e acesso gratuito ao Livro de Exercícios.
Esta é uma obra diferenciada, que trabalha além da mecânica de escrituração e da elaboração das demonstrações financeiras: o foco é trazer compreensão dos relatórios contábeis ao leitor.
Com a tecnologia disponível para o processamento contábil, é muito mais interessante que o estudante saiba analisar a natureza, o significado e a finalidade dos dados contábeis. E é essa a principal função deste livro.
Livro-texto para as disciplinas Contabilidade Introdutória e Contabilidade Geral dos cursos de Administração, Ciências Contábeis, Economia e Direito. Por dar mais ênfase à compreensão dos dados e demonstrativos contábeis do que à técnicas de escrituração, destina-se também a profissionais não contadores e a estudantes de outras áreas.

Acompanhe as nossas publicações, cadastre-se e receba as informações por e-mail (Clique aqui!)",544,https://m.media-amazon.com/images/I/41yvNMDJtcL.jpg,13,2,16,1
A mente do empreendedor,33.24,"Steve Jobs, Jeff Bezos, Mark Zuckerberg, Bill Gates, Valerie Gaydos e Sara Blakely. O que eles - entre outros tantos empreendedores geniais - têm em comum? Sucesso em seus negócios! A verdade é que milhares de pessoas tentam empreender. Muitos erram. Alguns acertam. Mas pouquíssimos tornam-se empresários incrivelmente bem sucedidos. Kevin D. Johnson acredita que, se os empresários souberem o que se passa dentro da cabeça dos empreendedores mais bem sucedidos do mundo, serão mais precisos nas suas decisões do dia a dia e aumentarão a chance de acertar. Segundo o autor, você precisa mudar seu modo de pensar. Em outras palavras, precisa interiorizar a ""mente do empreendedor"": um jeito de pensar que foca nas lições mais importantes e vitais desses grandes nomes. E é exatamente isso que Kevin D. Johnson oferece neste livro. O autor pesquisou profundamente e encontrou hábitos, crenças e características em comum entre esses grandes nomes.",320,https://m.media-amazon.com/images/I/5131ChHkyML.jpg,14,2,17,1
Empreendedorismo - plano de negócios em 40 lições - 2ed,47.49,"Obra apresenta os principais componentes de um plano de negócio, com orientações específicas, objetivas e práticas para quem está em um empreendimento nascente. Divididos em 40 capítulos, o conteúdo aborda desde a decisão de iniciar um novo negócio e a identificação de oportunidades de alto potencial de crescimento até a avaliação da necessidade de buscar investidores, passando pelo estudo de viabilidade mercadológica, operacional e financeira do negócio. Traz ainda temas atuais que auxiliarão no desenvolvimento de novos empreendimentos, entre eles, Effectuation, Design Thinking, Lean Startup, Business Model Canvas e Bootstrapping, que é a criação de uma empresa utilizando apenas recursos próprios.",360,https://m.media-amazon.com/images/I/41wb-0wRBnL.jpg,15,2,18,1
Scaling Up - Escalando seu negócio,58.10,"Uma Scaleup é uma empresa que já validou seus serviços e produtos no mercado, provando que seu modelo de negócio é sustentável, seu próximo passo é escalar. A Scaleup é o próximo passo de uma startup. A energia e recursos são focados no crescimento sustentável. Faz mais de uma década que o livro mais vendido de Verne Harnish Mastering the Rockefeller Habits foi lançado. Scaling Up é a primeira grande revisão desse clássico de negócios que detalha ferramentas e técnicas práticas para escalar um negócio que domina o setor.Scaling Up concentrase nas quatro principais áreas de decisão que toda empresa deve acertar: Pessoas, Estratégia, Execução e Caixa. O livro inclui uma série de novas ferramentas de uma página, incluindo o Plano Estratégico de Uma Página atualizado e o Rockefeller Habits ChecklistTM, que mais de 40.000 empresas em todo o mundo usaram para escalar suas empresas com sucesso — muitas até US$ 10 milhões, US$ 100 milhões e US$ 1 bilhão e além — enquanto desfruta sua escalada.",253,https://m.media-amazon.com/images/I/51xo926k-KL.jpg,16,2,19,1
"Instagram, WhatsApp e Facebook para Negócios: Como ter lucro através dos três principais canais de venda",49.30,"Se quer dominar as vendas online, este livro é para você.
Nele vai aprender a trabalhar de forma correta os três principais canais de vendas do momento: Instagram, WhatsApp e Facebook. Seja através da criação de conteúdo ou de anúncios pagos, este livro irá mostrar-lhe o caminho que precisa de percorrer para ter uma presença online eficaz
Muitos empreendedores acreditam que criar uma conta numa rede social ou ter um site já é o suficiente. Na verdade, esse é apenas o primeiro passo. As vendas e o sucesso da sua empresa acontecem depois de criar as suas contas. O que publicar, quando publicar, que anúncios fazer ou como fazer esses anúncios são apenas alguns dos aspectos que precisa de dominar para ter êxito online. Neste livro você encontra tudo o que precisa de saber para dominar os três principais apps de comunicação do mundo.",346,https://m.media-amazon.com/images/I/510kEqtD0-L.jpg,17,2,20,1
E não sobrou nenhum,26.94,"Uma ilha misteriosa, um poema infantil, dez soldadinhos de porcelana e muito suspense são os ingredientes com que Agatha Christie constrói seu romance mais importante. Na ilha do Soldado, antiga propriedade de um milionário norte-americano, dez pessoas sem nenhuma ligação aparente são confrontadas por uma voz misteriosa com fatos marcantes de seus passados.
Convidados pelo misterioso mr. Owen, nenhum dos presentes tem muita certeza de por que estão ali, a despeito de conjecturas pouco convincentes que os leva a crer que passariam um agradável período de descanso em mordomia. Entretanto, já na primeira noite, o mistério e o suspense se abatem sobre eles e, num instante, todos são suspeitos, todos são vítimas e todos são culpados.",323,https://m.media-amazon.com/images/I/51QVh6K9cVL.jpg,18,3,21,1
Estado de terror,40.41,"“Reunindo uma ex-secretária de Estado e uma das autoras de mistério mais celebradas da atualidade, Estado de terror combina detalhes dos bastidores políticos com ação de tirar o fôlego, em uma trama de ameaça global à altura dos melhores suspenses.” –The Wall Street Journal",563,https://m.media-amazon.com/images/I/411mkjhTJFL.jpg,19,3,22,1
Histórias extraordinárias,39.90,"A edição ilustrada inclui textos de Charles Baudelaire, Jorge Luis Borges e Julio Cortázar, que reverenciam o estilo hipnotizante do escritor mais sombrio de todos os tempos.

Histórias extraordinárias reúne dezoito contos assombrosos de Edgar Allan Poe, com seleção, apresentação e tradução do poeta José Paulo Paes. Este livro traz, entre outras obras-primas do mestre do suspense e do mistério, ""A carta roubada"", ""O gato preto"", ""O escaravelho de ouro"", ""O poço e o pêndulo"", ""Assassinatos na rua Morgue"" e ""O homem da multidão"".
O caráter macabro das histórias, dotadas de profundidade psicológica e imersas em uma atmosfera eletrizante, continua a conquistar novos leitores e a afirmar sua condição de clássico. Nas palavras de Paes, ""Poe sempre consegue […] provocar-nos aquele arrepio de morte ou aquela impressão de vida que, em literatura, constituem o melhor, senão o único, passaporte para a imortalidade"".",377,https://m.media-amazon.com/images/I/51LQ2QuZGUL.jpg,2,3,23,1
Os homens que não amavam as mulheres (Millennium Livro 1),29.90,"Vem da Suécia um dos maiores êxitos no gênero de mistério dos últimos anos: a série Millennium - da qual este romance, Os homens que não amavam as mulheres, é o primeiro volume.

Em 1966, Harriet Vanger, jovem herdeira de um império industrial, some sem deixar vestígios. No dia de seu desaparecimento, fechara-se o acesso à ilha onde ela e diversos membros de sua extensa família se encontravam. Desde então, a cada ano, Henrik Vanger, o velho patriarca do clã, recebe uma flor emoldurada - o mesmo presente que Harriet lhe dava, até desaparecer. Ou ser morta. Pois Henrik está convencido de que ela foi assassinada. E que um Vanger a matou.
Quase quarenta anos depois, o industrial contrata o jornalista Mikael Blomkvist para conduzir uma investigação particular. Mikael, que acabara de ser condenado por difamação contra o financista Wennerström, preocupa-se com a crise de credibilidade que atinge sua revista, a",546,https://m.media-amazon.com/images/I/5192DEFK18L.jpg,2,3,24,1
It: A coisa,39.90,"Nesse cássico que inspirou os filmes da Warner, um grupo de amigos conhecido como Clube dos Otários aprende o real sentido da amizade, do amor, da confiança... e do medo. O mais profundo e tenebroso medo.",1208,https://m.media-amazon.com/images/I/51z0s3GcvwL.jpg,20,3,25,1
Laranja mecânica,15.37,"Narrada pelo protagonista, o adolescente Alex, esta brilhante e perturbadora história cria uma sociedade futurista em que a violência atinge grandes proporções e provoca uma resposta igualmente agressiva de um governo totalitário. Ao lado de 1984, de George Orwell, e Admirável Mundo Novo, de Aldous Huxley, Laranja Mecânica é um dos ícones literários da alienação pós-industrial que caracterizou o século 20. Adaptado com maestria para o cinema em 1972 por Stanley Kubrick, o livro é uma obra marcante que atravessou décadas e se mantém atual.",253,https://m.media-amazon.com/images/I/51AES0xVwHL.jpg,21,3,26,1
O cemitério,32.90,"Nesse cássico do gênero terror, os mortos podem até voltar... mas não voltam iguais. Um dos mais aclamados de Stephen King, O cemitério é o livro que inspirou os filmes Cemitério Maldito, de 1989 e de 2019.",537,https://m.media-amazon.com/images/I/41frrGPR0KL.jpg,20,3,25,1
Ghost Story,44.64,"Na pacata cidadezinha de Milburn, nos Estados Unidos, a Sociedade Chowder ― formada por um grupo de quatro velhos amigos ― se reúne todo mês para contar histórias em encontros regados a bebidas e charutos. Algumas são verdadeiras, outras inventadas... mas todas elas têm algo em comum: são terrivelmente assustadoras. Um passatempo simples para conferir um pouco de diversão a suas vidas monótonas. Mas uma história chega para mostrar suas garras no presente e assombrá-los. Algo que eles fizeram muito tempo atrás. Um erro grotesco. Um acidente terrível. Agora, pesadelos fazem com que eles inevitavelmente sejam atraídos pelo sobrenatural. E não demora muito para que eles percebam que ninguém pode enterrar o passado para sempre… Há quase sete anos, os fãs do terror encontraram na DarkSide® um lar. Ou, bem, uma mansão assombrada. Desde então, a Caveira republicou clássicos, revelou novos talentos e fez muita gente se revirar na cama com pesadelos. Os nomes mais assustadores da literatura entraram para a família: Clive Barker, William Hjortsberg, Stephen King, William Peter Blatty… E, agora, Peter Straub. É com o coração assombrado por fantasmas que a DarkSide® apresenta o clássico Ghost Story, uma das histórias sobrenaturais mais surpreendentes já escritas ― e uma das mais aguardadas pelos leitores que caminham de mãos dadas com a Caveira desde o início. Em Ghost Story, Straub mostra seu talento ao apresentar cada membro da Sociedade Chowder para o leitor, ao mesmo tempo em que estabelece a atmosfera da cidadezinha fictícia e os acontecimentos sobrenaturais. Uma leitura compassada, que se esgueira para os cantos mais sombrios da mente, para nunca mais sair. Straub mexe profundamente com a cabeça do leitor em um terror psicológico que aborda arrependimentos, vinganças, amizades que se desmancham e histórias mal-resolvidas ― mas também faz o sangue congelar ao colocar olhos amarelos à espreita e crianças estranhas olhando pela janela. Fantasmas são manifestações reais ou meros ecos do passado? Só lendo para descobrir. Peter Straub se tornou um dos autores de horror mais prolíficos e aclamados de todos os tempos, com inúmeros romances, contos, poemas e novelas publicadas. Entre os leitores notáveis de seu trabalho encontra-se Stephen King, também amigo pessoal e parceiro criativo em obras como O Talismã e A Casa Negra. Ghost Story chega para os leitores no timing perfeito para virar a leitura favorita de Halloween. O padrão de qualidade é o que você já conhece: uma edição de colecionador, feita de fã para fã, para assombração nenhuma colocar defeito. Preparado para encarar os fantasmas desta história?",440,https://m.media-amazon.com/images/I/51p2vyVf++L.jpg,22,3,27,1
O Vilarejo,23.90,"Ilustrações coloridas dão vida a romance com elementos de horror gótico e suspense.
Do criador da série original Netflix ""Bom dia, Verônica"".

Em 1589, o padre e demonologista Peter Binsfeld fez a ligação de cada um dos pecados capitais a um demônio, supostamente responsável por invocar o mal nas pessoas. É a partir daí que Raphael Montes cria sete histórias situadas em um vilarejo isolado, apresentando a lenta degradação dos moradores do lugar, e pouco a pouco o próprio vilarejo vai sendo dizimado, maculado pela neve e pela fome.
As histórias podem ser lidas em qualquer ordem, sem prejuízo de sua compreensão, mas se relacionam de maneira complexa, de modo que ao término da leitura as narrativas convergem para uma única e surpreendente conclusão.",116,https://m.media-amazon.com/images/I/512KctaS-3L.jpg,20,3,28,1
Eu sei o que vocês fizeram no verão passado: Alguns segredos não poderão ser esquecidos...,18.90,"O livro que deu origem a um dos maiores sucessos do terror no cinema.
Neste clássico do terror – adaptado para o cinema e para a televisão –, quatro adolescentes tentam escapar de um assassino que deseja vingar a morte de um garotinho.
Depois de uma noite de muita festa, quatro adolescentes atropelam acidentalmente um garoto de dez anos. Sem querer lidar com as consequências de seus atos, eles abandonam o corpo e decidem fazer um pacto, com a intenção de manter o ocorrido em segredo.
No entanto, nem tudo é tão simples, e o sentimento de culpa não será o único problema com que terão de lidar. No ano seguinte, uma das adolescentes recebe um bilhete anônimo com uma mensagem curta, mas que diz tudo: ""Eu sei o que vocês fizeram no verão passado"".
Em um romance repleto de reviravoltas e obstáculos constantes, os quaro jovens terão que lutar por suas vidas, fugindo e se escondendo de um assassino que está determinado a fazê-los pagar pelo terrível crime que cometeram.",195,https://m.media-amazon.com/images/I/41TtBAShytL.jpg,23,3,29,1
O universo da programação: Um guia de carreira em desenvolvimento de software,44.91,"Desenvolvimento de software não é mais somente uma área de trabalho, mas um verdadeiro universo em constante expansão. São tantas opções de áreas de atuação, tantas tecnologias distintas e plataformas, que é possível se perder em meio a uma chuva de informação para quem quer ingressar em programação. Qual o perfil profissional? É preciso ter formação? Por onde começar?

Neste livro, William Oliveira cria uma trilha de conhecimento encorajadora para apresentar o universo da programação. O autor apresenta o cenário atual e os conceitos básicos da área, a fim de desmistificar a figura do programador para tornar a profissão palpável para qualquer pessoa que realmente queira se inserir nela. Você será guiado por este caminho pelo qual conhecerá as possibilidades da área de desenvolvimento de software, sendo entregue com a inspiração e as melhores dicas para mergulhar neste universo.",216,https://m.media-amazon.com/images/I/41WQNOs8j5L.jpg,24,4,30,1
"Programação em Baixo Nível: C, Assembly e execução de programas na arquitetura Intel 64",102.50,"Conheça a linguagem Assembly e a arquitetura do Intel 64, torne-se proficiente em C e entenda como os programas são compilados e executados até o nível das instruções de máquina, permitindo-lhe escrever um código robusto e de alto desempenho.

Programação em baixo nível explica a arquitetura do Intel 64 como resultado da evolução da arquitetura de von Neumann. O livro o ensina a usar a versão mais recente da linguagem C (C11) e a linguagem Assembly desde o básico. Todo o caminho, do código-fonte à execução do programa, incluindo a geração de arquivos-objeto ELF, além das ligações estática e dinâmica, será discutido. Há exemplos de código e exercícios, junto com as melhores práticas de programação. Os recursos de otimização e os limites dos compiladores modernos serão analisados, permitindo-lhe promover um equilíbrio entre a legibilidade do programa e o desempenho.

O uso de diversas técnicas para ganho de desempenho, por exemplo, instruções SSE e pre-fetching, será demonstrado. Assuntos relevantes em ciência da computação, como os modelos de computação e as gramáticas formais, também serão tratados, explicando-se sua importância prática.

Programação em baixo nível ensina os programadores a:

escrever livremente em linguagem Assembly;
compreender o modelo de programação do Intel 64;
escrever um código robusto e fácil de manter em C11;
acompanhar o processo de compilação e decifrar as listagens em Assembly;
depurar erros em código Assembly compilado;
usar modelos de computação apropriados para reduzir drasticamente a complexidade dos programas;
escrever códigos críticos quanto ao desempenho;
compreender o impacto de um modelo de memória fraco em aplicações com várias threads.",730,https://m.media-amazon.com/images/I/41Dy8Av8qkL.jpg,25,4,31,1
Data Science para Negócios: O que você precisa saber sobre mineração de dados e pensamento analítico de dados,77.95,"Este guia amplo, profundo, porém não muito técnico, apresenta a você os princípios fundamentais do Data Science e orienta-o através do ""pensamento analítico"" necessário para extrair conhecimento útil e valor de negócios a partir dos dados que você obtém. Ao aprender os princípios do Data Science, você compreenderá as diversas técnicas de mineração de dados usadas hoje. Mais importante ainda, esses princípios sustentam os processos e as estratégias necessárias para resolver problemas de negócios por meio das técnicas de mineração de dados.",575,https://m.media-amazon.com/images/I/41FpXz+AbvL.jpg,11,4,32,1
